"DR.Number","Date.Occurred","Time.Occurred","Hour","Weapon.Description","Status.Description","Address","Cross.Street","Longitude","Latitude"
130101121,"08/31/2013",300,3,"HAND GUN","Invest Cont","800 S  GRAND                        AV","",-118.2579,34.0459
130107496,"02/28/2013",1425,14,"REVOLVER","Adult Arrest","HOPE","VENICE",-118.2676,34.0365
130111328,"04/28/2013",330,3,"UNKNOWN FIREARM","Adult Other","600 N  BUNKER HILL                  AV","",-118.2446,34.0613
130111364,"04/28/2013",1700,17,"OTHER FIREARM","Adult Other","600 N  BUNKER HILL                  AV","",-118.2446,34.0613
130111366,"04/28/2013",300,3,"RIFLE","Adult Other","600 N  FIGUEROA                     ST","",-118.2463,34.0627
130118728,"08/18/2013",1815,18,"REVOLVER","Invest Cont","OLIVE                        ST","17TH                         ST",-118.266,34.0345
130118729,"08/18/2013",1815,18,"REVOLVER","Invest Cont","OLIVE                        ST","17TH                         ST",-118.266,34.0345
130118730,"08/18/2013",1815,18,"REVOLVER","Invest Cont","OLIVE                        ST","17TH                         ST",-118.266,34.0345
130120292,"09/14/2013",230,2,"UNKNOWN FIREARM","Invest Cont","300    BLOOM                        ST","",-118.229,34.0633
130123966,"11/14/2013",2115,21,"UNKNOWN FIREARM","Invest Cont","CARDINAL","ELMYRA",-118.229,34.0633
130200604,"04/19/2013",1410,14,"HAND GUN","Invest Cont","600 S  BONNIE BRAE                  ST","",-118.2725,34.0585
130206332,"02/10/2013",200,2,"UNKNOWN FIREARM","Invest Cont","1600 W  6TH                          ST","",-118.2691,34.057
130209579,"04/06/2013",255,2,"UNKNOWN FIREARM","Invest Cont","BURLINGTON","6TH                          ST",-118.2711,34.0579
130210690,"04/23/2013",1755,17,"HAND GUN","Invest Cont","DILLON","MARATHON",-118.2767,34.0824
130210998,"04/26/2013",2350,23,"HAND GUN","Invest Cont","700    HARTFORD                     AV","",-118.2673,34.0522
130211123,"04/29/2013",2205,22,"UNKNOWN FIREARM","Invest Cont","NORMANDIE                    AV","MONROE",-118.3005,34.0856
130212048,"05/13/2013",120,1,"UNKNOWN FIREARM","Invest Cont","700    HARTFORD                     AV","",-118.2673,34.0522
130212331,"05/16/2013",1615,16,"HAND GUN","Invest Cont","600    SILVER LAKE                  BL","",-118.2791,34.0784
130213080,"05/29/2013",1740,17,"SEMI-AUTOMATIC PISTOL","Invest Cont","4000    MARATHON                     ST","",-118.2868,34.0846
130213124,"05/30/2013",100,1,"UNKNOWN FIREARM","Invest Cont","BONNIE BRAE","3RD                          ST",-118.2702,34.0619
130213576,"06/05/2013",2330,23,"UNKNOWN FIREARM","Invest Cont","1400    COLTON                       ST","",-118.2588,34.0639
130215615,"07/09/2013",2220,22,"UNKNOWN FIREARM","Invest Cont","4000    MARATHON                     ST","",-118.2868,34.0846
130217096,"08/07/2013",2005,20,"HAND GUN","Invest Cont","VIRGIL                       AV","MARATHON                     ST",-118.2868,34.0846
130218772,"09/09/2013",1855,18,"UNKNOWN FIREARM","Invest Cont","BIXEL","COURT",-118.257,34.0642
130222183,"11/14/2013",2030,20,"UNKNOWN FIREARM","Invest Cont","1400    VALENCIA                     ST","",-118.2759,34.0421
